time,glucose
1679843760,99.0
1679844060,103.0
1679844360,107.0
1679844660,108.0
1679844960,109.0
1679845260,110.0
1679845560,109.0
1679845860,107.0
1679846160,113.0
1679846460,116.0
1679846760,120.0
1679847060,118.0
1679847360,115.0
1679847660,106.0
1679847960,93.0
1679848260,85.0
1679848560,70.0
1679848860,67.0
1679849160,73.0
1679849460,72.0
1679849760,81.0
1679850060,92.0
1679850360,98.0
1679850660,100.0
1679850960,99.0
1679851260,100.0
1679851560,98.0
1679851860,97.0
1679852160,98.0
1679852460,99.0
1679852760,101.0
1679853060,102.0
1679853360,102.0
1679853660,103.0
1679853960,98.0
1679854260,92.0
1679854560,89.0
1679854860,87.0
1679855160,86.0
1679855460,86.0
1679859060,86.0
1679859360,89.0
1679859660,90.0
1679859960,94.0
1679860260,98.0
1679860560,100.0
1679860860,99.0
1679861160,99.0
1679861460,98.0
1679861760,100.0
1679862060,99.0
1679862360,97.0
1679862660,98.0
1679862960,96.0
1679863260,94.0
1679863560,87.0
1679863860,87.0
1679864160,89.0
1679864460,87.0
1679864760,89.0
1679865060,89.0
1679865360,90.0
1679865660,91.0
1679865960,92.0
1679866260,91.0
1679866560,90.0
1679866860,89.0
1679867160,89.0
1679867460,89.0
1679867760,89.0
1679868060,89.0
1679868360,90.0
1679868660,90.0
1679868960,90.0
1679869260,89.0
1679869560,87.0
1679869860,87.0
1679870160,87.0
1679870460,87.0
1679870760,88.0
1679871060,90.0
1679871360,92.0
1679871660,96.0
1679871960,101.0
1679872260,108.0
1679872560,115.0
1679872860,122.0
1679873160,128.0
1679873460,133.0
1679873760,136.0
1679874060,139.0
1679874360,138.0
1679874660,136.0
1679874960,136.0
1679875260,132.0
1679875560,128.0
1679875860,124.0
1679876160,119.0
1679876460,117.0
1679876760,113.0
1679877060,112.0
1679877360,110.0
1679877660,107.0
1679877960,108.0
1679878260,110.0
1679878560,115.0
1679878860,121.0
1679879160,126.0
1679879460,136.0
1679879760,141.0
1679880060,136.0
1679880360,129.0
1679880660,116.0
1679880960,99.0
1679881260,94.0
1679881560,91.0
1679881860,95.0
1679882160,107.0
1679882460,108.0
1679882760,113.0
